text,intent
hello,greeting
hi,greeting
hey,greeting
hello there,greeting
hi there,greeting
hey there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
morning,greeting
evening,greeting
howdy,greeting
hiya,greeting
greetings,greeting
how are you,greeting
how are you doing,greeting
how's it going,greeting
what's up,greeting
what's happening,greeting
how are things,greeting
hey what's going on,greeting
hello again,greeting
bye,farewell
goodbye,farewell
see you,farewell
see you later,farewell
see ya,farewell
talk to you later,farewell
catch you later,farewell
later,farewell
good night,farewell
have a good one,farewell
that's all for now,farewell
I'm done for now,farewell
we're done for now,farewell
okay goodbye,farewell
thanks bye,farewell
I'll talk to you later,farewell
we can stop here,farewell
that's it for today,farewell
gotta go,farewell
yes,affirmative
yeah,affirmative
yep,affirmative
yup,affirmative
sure,affirmative
okay,affirmative
ok,affirmative
correct,affirmative
that's right,affirmative
exactly,affirmative
absolutely,affirmative
definitely,affirmative
go ahead,affirmative
do it,affirmative
please do,affirmative
sounds good,affirmative
that's fine,affirmative
okay go ahead,affirmative
yes please,affirmative
yeah do that,affirmative
right exactly,affirmative
I agree,affirmative
works for me,affirmative
that works,affirmative
perfect,affirmative
no,negative
nope,negative
nah,negative
no thanks,negative
don't,negative
don't do that,negative
not that,negative
that's wrong,negative
cancel that,negative
never mind,negative
actually no,negative
I don't want that,negative
stop,negative
don't continue,negative
forget it,negative
no that's not right,negative
not what I meant,negative
don't bother,negative
skip it,negative
I changed my mind,negative
I don't think so,negative
not really,negative
absolutely not,negative
do you remember what I said,recall
can you recall my previous message,recall
what did I tell you earlier,recall
what did I mention about that,recall
can you remember,recall
do you recall,recall
what was that thing I told you,recall
tell me what my preference is,recall
what is my name,recall
where did I say I live,recall
what did I say I do for work,recall
what did we talk about yesterday,recall
can you remind me what I said,recall
did I tell you about that,recall
what did I say last time,recall
what's in my memory,recall
show me what you remember,recall
tell me what you know about me,recall
what have I told you,recall
what do you remember,recall
what did I ask before,recall
can you recall our last conversation,recall
what was our last chat about,recall
what did we discuss,recall
remind me what we talked about,recall
what did I say about my backpack,recall
what did I tell you about my backpack,recall
what was that thing I mentioned,recall
what were we talking about before,recall
where did we leave off,recall
what was I working on earlier,recall
what did I say I wanted,recall
what did I decide earlier,recall
what was my plan again,recall
what did I call that,recall
what was that name again,recall
which model did I say I was using,recall
which one did I tell you I preferred,recall
have I mentioned my car before,recall
did I ever tell you about my project,recall
what have I said about my project,recall
what do you know about my project,recall
what do you remember about the pi,recall
what did we decide last time,recall
what did I tell you last time,recall
what was I saying yesterday,recall
what did we leave off on,recall
what were we working on,recall
what did I tell you my dog's name was,recall
what was the name of the dog I mentioned,recall
remember that I like coffee,memory_store
don't forget my favorite color is blue,memory_store
please remember this,memory_store
I want you to remember this,memory_store
store this in memory,memory_store
remember I have a meeting at three,memory_store
save this for later,memory_store
keep this in mind,memory_store
remember this for later,memory_store
save this in memory,memory_store
store this for later,memory_store
make a note of this,memory_store
make a note that I prefer coffee,memory_store
keep track of this,memory_store
keep this in memory,memory_store
don't forget what I'm about to tell you,memory_store
I want you to save this,memory_store
I want you to remember this later,memory_store
add this to your memory,memory_store
remember what I'm telling you,memory_store
save what I just told you,memory_store
keep that information for later,memory_store
remember that my dog is named Max,memory_store
save that my appointment is Friday,memory_store
don't forget that I changed the tires,memory_store
store the fact that I use Linux,memory_store
remember that I chose the second option,memory_store
save my preference for the dark theme,memory_store
put this in memory for next time,memory_store
write this to memory,memory_store
explain in detail,detailed
walk me through it step by step,detailed
please elaborate on that,detailed
tell me more about that,detailed
deep dive into that,detailed
what are all the differences between them,detailed
how does this work exactly,detailed
can you break that down completely,detailed
I need a thorough explanation,detailed
give me a comprehensive overview,detailed
explain the process fully,detailed
what are all the steps involved,detailed
can you go into more depth,detailed
I want a detailed response,detailed
please be very thorough,detailed
explain everything about it,detailed
give me all the details,detailed
tell me the whole story,detailed
break the whole thing down for me,detailed
what's the full picture,detailed
give me the long version,detailed
explain it from beginning to end,detailed
don't skip any steps,detailed
go deep on this,detailed
I want the technical explanation,detailed
